Farine;Sucre;Beurre;Vanille;Cassonade;Oeuf;Levure;Lait;Sel;Chocolat;Temperature;Duree_cuisson;Ordre;Note
0.364842454;0.000000000;0.199004975;0.008291874;0.298507463;0.087893864;0.004145937;0.000000000;0.004145937;0.331674959;140.000000000;20.000000000;beurre sucre oeuf farine levure sel chocolat;0.86
0.407523511;0.156739812;0.180250784;0.007836991;0.078369906;0.083072100;0.003918495;0.000000000;0.003918495;0.156739812;175.000000000;10.000000000;beurre sucre oeuf farine levure sel chocolat;0.88
0.361010830;0.000000000;0.192539110;0.012033694;0.000000000;0.127557160;0.012033694;0.000000000;0.006016847;0.288808664;200.000000000;10.000000000;farine beurre oeuf levure sel chocolat;0.72
0.323624595;0.145631068;0.177993528;0.008090615;0.145631068;0.085760518;0.008090615;0.000000000;0.008090615;0.242718447;200.000000000;11.000000000;beurre sucre oeuf farine sel levure chocolat;0.84
0.330305533;0.000000000;0.181668043;0.049545830;0.280759703;0.087530966;0.016515277;0.000000000;0.004128819;0.330305533;150.000000000;13.000000000;beurre sucre oeuf farine sel levure chocolat;0.84
0.310559006;0.175983437;0.155279503;0.020703934;0.000000000;0.109730849;0.010351967;0.000000000;0.010351967;0.207039337;180.000000000;10.000000000;beurre sucre oeuf farine levure sel chocolat;0.8
0.420650096;0.000000000;0.229445507;0.000000000;0.229445507;0.101338432;0.004780115;0.000000000;0.004780115;0.239005736;175.000000000;10.000000000;beurre oeuf sucre farine levure sel chocolat;0.9
0.368776890;0.245851260;0.245851260;0.000000000;0.000000000;0.130301168;0.006146281;0.000000000;0.003073141;0.000000000;180.000000000;8.000000000;beurre sucre oeuf farine levure sel;0.92
0.354819633;0.147841514;0.236546422;0.011827321;0.147841514;0.062684802;0.005913661;0.000000000;0.002956830;0.177409817;180.000000000;8.000000000;beurre sucre sel levure oeuf farine chocolat;1.0
0.306122449;0.081632653;0.234693878;0.010204082;0.102040816;0.000000000;0.000000000;0.061224490;0.000000000;0.306122449;180.000000000;10.000000000;beurre sucre farine lait chocolat;0.98
